순위,등급,점수,신뢰도,업체명,유형,URL,B2B근거,카테고리,가격표본,MOQ,배송·직배송,연락수단,선정이유,질문,위험,확인일,근거URL
12,2차,70,HIGH,오토스,PPE 제조사,"https://www.otos.co.kr/","국내 보안경·용접면·보안면·장갑 제조;공식 최신 카탈로그·문의","보안경;용접면;보안면;기능성 장갑;PAPR","S-506BX 제조사 가격 비공개;시장2620원+배송3000원;Coreable5000원","확인 필요","판매처·도매 배송 조건 확인 필요","공식 Q&A;카탈로그 내 전화","제품·인증 자료가 풍부하고 PPE 보완 가능","공식 도매처;S-506BX 공급가;MOQ;직배송;이미지·인증 사용","보안경·용접장갑은 Coreable 과다 카테고리;도매 조건 비공개",2026-08-06,"https://www.otos.co.kr/page/sub1_2 | https://www.otos.co.kr/bbs/catalog/9001 | https://www.otos.co.kr/product/product_list.htm?product_category=05000000 | https://prod.danawa.com/info/?pcode=10727427"
13,2차,68,HIGH,K2 Safety,PPE 제조·브랜드,"https://k2safety.co.kr/","공식 제조 브랜드·온라인몰과 산업안전 전시·B2B 소개 근거","작업장갑;안전화;안전대;작업복;보호대","하이터치2 NBR장갑 1600원;LT-106 안전화 110000원","소매 1개;도매 MOQ 확인 필요","소매 배송·반품 확인 가능;B2B 직배송 확인 필요","공식몰 고객센터","일반 작업장갑과 안전대 등 브랜드 상품 확대","도매/총판 연결;할인구간;중립포장;재고 피드;브랜드 이미지 권한","공식 소매가만 확인;도매·데이터 조건 없음",2026-08-06,"https://k2safety.co.kr/ | https://www.safetyshow.co.kr/kor/intro/co-list-view.asp?midx=530 | https://k2safety.tradekorea.com/main.do"
14,2차,67,MEDIUM,더에이치투(UVEX KOREA),UVEX 공식 유통몰,"https://uvexkorea.co.kr/","사업자·통신판매 정보;상품별 대량구매문의","보안경;헬멧;보호장비","UVEX lgl32 84000원;배송3000원·5만원 이상 무료","대량구매 조건 확인 필요","CJ대한통운;반품지 공개;직배송 확인 필요","02-514-9801","공식 유통·대량구매 창구와 고급 PPE 보완","산업 PPE 도매가;공식 유통 범위;재판매·이미지 사용;중립포장","스포츠 상품 비중과 산업 PPE 도매 범위 불명확",2026-08-06,"https://uvexkorea.co.kr/member/login.html | https://uvexkorea.co.kr/product/uvex%EC%9A%B0%EB%B2%A1%EC%8A%A4-lgl32-%ED%99%94%EC%9D%B4%ED%8A%B8-%EA%B7%B8%EB%A6%B0%EB%AF%B8%EB%9F%AC/890/category/1/display/21/"
15,2차,65,MEDIUM,한국소방공사,소방·AED 전문 유통,"https://able119.co.kr/","상품별 대량구매문의;사업자·통신판매 정보 공개","AED;소방;구조·구급","나눔테크 Heart Keeper AED 가격 문의","확인 필요","설치·교육 제공 표기;직배송·중립포장 확인 필요","공식몰 대량구매문의","AED와 응급 장비 공백 보완","도매가;설치·교육;소모품;직배송;송장;재판매 권한","카테고리가 소방·AED 중심이며 공급가 비공개",2026-08-06,"https://able119.co.kr/product/detail.html?cate_no=366&display_group=1&product_no=3201"
16,2차,64,MEDIUM,클릭스포츠,K2 안전용품 유통,"https://www.clicksports.co.kr/","기업 대량공급·도매 견적 안내","K2 안전화;작업화;안전용품","K2 안전화 공개 소매 목록;도매 견적 필요","확인 필요","기업 납품 가능;중립포장·직배송 확인 필요","공식몰 견적 문의","K2 제조사보다 실무 도매 협상 창구일 가능성","공식 대리점 범위;도매가;직배송;재고·이미지 권한","제조사 공식 지정·데이터 사용 근거 추가 확인 필요",2026-08-06,"https://www.clicksports.co.kr/goods/goods_list.php?cateCd=021002"
17,2차,63,HIGH,한국쓰리엠,PPE 제조사,"https://www.3m.co.kr/3M/ko_KR/worker-health-safety-kr/","산업안전 사업과 공식 문의·제품 카탈로그","호흡;청력;보안경;추락;보호복","EAR H9A 공급가 비공개;Coreable 47700원","공식 총판 조건 확인 필요","총판 배송·직배송 확인 필요","3M 공식 문의","브랜드 신뢰와 광범위 PPE","온라인 재판매 가능한 총판;H9A·6200 가격표;이미지·SDS·인증 권한","제조사 직접 공급보다 총판 소개 가능성이 큼",2026-08-06,"https://www.3msafety.co.kr/3M/ko_KR/worker-health-safety-kr/safety-equipment/industrial-safety-products/ | https://multimedia.3m.com/mws/media/1381054O/3m-ppe-catalog-full.pdf | https://coreable-saf.com/api/products?q=H9A&size=20"
18,보류,58,HIGH,한스산업,안전화 제조사,"https://www.okhans.com/","국내·베트남 생산;연 120만 족;주문제작화 제품군","안전화;절연·정전·크린룸화","HS-94-1 등 가격 비공개","확인 필요","국내 도매·직배송 확인 필요","042-523-8278;hans3355@daum.net","안전화 제조 안정성","도매 거래;가격표;MOQ;직배송;상품자료","Coreable 안전화가 이미 79개이고 도매 조건이 비공개",2026-08-06,"https://www.okhans.com/theme/basic/subpages_ko/company01.php | https://www.okhans.com/bbs/board.php?bo_table=product"
19,보류,57,MEDIUM,성안세이브(SSEDA),안전모 제조사,"https://www.thesseda.com/","제조사 공식 카탈로그·공장 정보","안전모;보안경 결합 안전모","SAHM 계열 가격 비공개","확인 필요","확인 필요","카탈로그 연락처 확인 필요","국내 안전모 제조·인증 자료","도매처;가격;MOQ;직배송;카탈로그 이미지 사용","공식 거래 페이지·현재 가격·운영 조건 부족",2026-08-06,"https://www.thesseda.com/ecatalog/pdf/sseda_mob.pdf"
20,보류,56,MEDIUM,국제안전물산,안전장갑 제조·PPE 수입,"https://www.safetyshow.co.kr/kor/down/KISS%202019_Official%20Directory.pdf","1973년 설립;안전장갑 제조;ATG·MOLDEX 수입유통 전시 디렉터리 근거","일반·특수 장갑;호흡;청력","공개 가격 없음","확인 필요","확인 필요","전시 디렉터리 연락처","일반 작업장갑과 호흡·청력 공급 가능성","현재 공식 사이트;도매가;브랜드 유통권;직배송;자료 제공","2019 디렉터리 이후 현재 거래 채널 직접 검증 부족",2026-08-06,"https://www.safetyshow.co.kr/kor/down/KISS%202019_Official%20Directory.pdf"
21,보류,55,MEDIUM,SG생활안전,종합 안전 제조·서비스,"https://www.safetyshow.co.kr/kor/intro/co-list-view.asp?midx=3277","산업·생활·해양·EV·방호 5개 분야 제조·서비스 공식 전시 근거","호흡보호;가스;화학;구조·방호","공개 가격 없음","확인 필요","공식 대리점 유통 확인 필요","KISS 참가업체 연락처","전문 호흡·방호 장비 공백 보완 가능","온라인 재판매;공식 대리점;가격;A/S;직배송;자료 권한","Coreable용 거래 채널과 가격 근거 부족",2026-08-06,"https://www.safetyshow.co.kr/kor/intro/co-list-view.asp?midx=3277 | https://sg119.creatorlink.net/"
22,보류,54,LOW,도부라이프텍,호흡보호구 제조사,"https://job.gg.go.kr/empmn/desEntDtl.do?bizrno=1268146947","방진·방독·화재대피 마스크 제조와 공공 납품 이력","방진·방독마스크;대피용 마스크","공개 현재 가격 없음","확인 필요","확인 필요","공개 기업 연락처 확인 필요","호흡보호 제조·납품 경험","현재 공식 사이트;도매가;재판매;인증;직배송;이미지 권한","현재 공식 근거와 연락 채널을 충분히 검증하지 못함",2026-08-06,"https://job.gg.go.kr/empmn/desEntDtl.do?bizrno=1268146947 | https://oshri.kosha.or.kr/_custom/kosha/_common/board/index/452.do?articleNo=419899&attachNo=237223&mode=download"
